Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0,0.1664,mg N/L,0.166416,Wed Aug 20 19:07:05 2025,1,1
STANDARD 1,,Nitrate 2,0.0185,mg N/L,0.0185,Wed Aug 20 22:46:31 2025,1,1
STANDARD 90,,Ammonia 2.0,0.1845,mg N/L,0.184525,Wed Aug 20 19:09:05 2025,1,1
STANDARD 90,,Nitrate 2,0.0303,mg N/L,0.030342,Wed Aug 20 22:48:34 2025,1,1
STANDARD 91,,Ammonia 2.0,0.2235,mg N/L,0.223488,Wed Aug 20 19:11:06 2025,1,1
STANDARD 91,,Nitrate 2,0.0479,mg N/L,0.047893,Wed Aug 20 22:50:36 2025,1,1
STANDARD 92,,Ammonia 2.0,0.2746,mg N/L,0.274644,Wed Aug 20 19:13:05 2025,1,1
STANDARD 92,,Nitrate 2,0.0749,mg N/L,0.074937,Wed Aug 20 22:52:39 2025,1,1
STANDARD 93,,Ammonia 2.0,0.3986,mg N/L,0.398559,Wed Aug 20 19:15:04 2025,1,1
STANDARD 93,,Nitrate 2,0.1573,mg N/L,0.157269,Wed Aug 20 22:54:41 2025,1,1
STANDARD 94,,Ammonia 2.0,0.6204,mg N/L,0.620366,Wed Aug 20 19:17:04 2025,1,1
STANDARD 94,,Nitrate 2,0.285,mg N/L,0.284973,Wed Aug 20 22:56:44 2025,1,1
STANDARD 95,,Ammonia 2.0,0.9799,mg N/L,0.979935,Wed Aug 20 19:19:03 2025,1,1
STANDARD 95,,Nitrate 2,0.5062,mg N/L,0.506236,Wed Aug 20 22:58:46 2025,1,1
STANDARD 0,,Ammonia 2.0,0.1533,mg N/L,0.153314,Wed Aug 20 19:21:02 2025,1,1
STANDARD 0,,Nitrate 2,0.0203,mg N/L,0.02029,Wed Aug 20 23:00:49 2025,1,1
C C V,,Ammonia 2.0,1.177,mg N/L,0.725092,Wed Aug 20 18:20:28 2025,1,1
C C V,,Nitrate 2,1.0655,mg N/L,0.286625,Wed Aug 20 23:02:52 2025,1,1
C C B ,,Ammonia 2.0,-0.0309,mg N/L,0.246186,Wed Aug 20 18:22:27 2025,1,1
C C B ,,Nitrate 2,-0.0242,mg N/L,0.01974,Wed Aug 20 23:04:55 2025,1,1
7,,Ammonia 2.0,0.494,mg N/L,0.454308,Wed Aug 20 18:24:26 2025,1,1
7,,Nitrate 2,-0.026,mg N/L,0.019278,Wed Aug 20 23:06:58 2025,1,1
8,,Ammonia 2.0,0.4997,mg N/L,0.456566,Wed Aug 20 18:26:24 2025,1,1
8,,Nitrate 2,0.0404,mg N/L,0.035554,Wed Aug 20 23:09:02 2025,1,1
9,,Ammonia 2.0,0.5132,mg N/L,0.461899,Wed Aug 20 18:28:23 2025,1,1
9,,Nitrate 2,0.0099,mg N/L,0.028083,Wed Aug 20 23:11:07 2025,1,1
10,,Ammonia 2.0,0.6998,mg N/L,0.535878,Wed Aug 20 18:30:24 2025,1,1
10,,Nitrate 2,0.0397,mg N/L,0.035375,Wed Aug 20 23:13:10 2025,1,1
11,,Ammonia 2.0,0.4827,mg N/L,0.449801,Wed Aug 20 18:32:25 2025,1,1
11,,Nitrate 2,0.0582,mg N/L,0.039921,Wed Aug 20 23:15:12 2025,1,1
12,,Ammonia 2.0,0.6049,mg N/L,0.498255,Wed Aug 20 18:34:24 2025,1,1
12,,Nitrate 2,0.0385,mg N/L,0.035075,Wed Aug 20 23:17:15 2025,1,1
13,,Ammonia 2.0,0.4306,mg N/L,0.429166,Wed Aug 20 18:36:23 2025,1,1
13,,Nitrate 2,0.0444,mg N/L,0.036529,Wed Aug 20 23:19:18 2025,1,1
14,,Ammonia 2.0,0.2622,mg N/L,0.362397,Wed Aug 20 18:38:22 2025,1,1
14,,Nitrate 2,-0.0243,mg N/L,0.019711,Wed Aug 20 23:21:22 2025,1,1
15,,Ammonia 2.0,0.5427,mg N/L,0.473591,Wed Aug 20 18:40:21 2025,1,1
15,,Nitrate 2,0.0283,mg N/L,0.032583,Wed Aug 20 23:23:25 2025,1,1
16,,Ammonia 2.0,0.303,mg N/L,0.378559,Wed Aug 20 18:42:20 2025,1,1
16,,Nitrate 2,0.0636,mg N/L,0.041239,Wed Aug 20 23:25:28 2025,1,1
C C V,,Ammonia 2.0,1.1327,mg N/L,0.644898,Wed Aug 20 19:23:02 2025,1,1
C C V,,Nitrate 2,1.0066,mg N/L,0.272205,Wed Aug 20 23:27:32 2025,1,1
C C B ,,Ammonia 2.0,-0.0233,mg N/L,0.173941,Wed Aug 20 19:25:01 2025,1,1
C C B ,,Nitrate 2,-0.0259,mg N/L,0.019321,Wed Aug 20 23:29:35 2025,1,1
17,,Ammonia 2.0,0.5367,mg N/L,0.402073,Wed Aug 20 19:27:01 2025,1,1
17,,Nitrate 2,0.0145,mg N/L,0.029218,Wed Aug 20 23:31:39 2025,1,1
18,,Ammonia 2.0,0.4254,mg N/L,0.356732,Wed Aug 20 19:29:00 2025,1,1
18,,Nitrate 2,0.0056,mg N/L,0.027039,Wed Aug 20 23:33:44 2025,1,1
19,,Ammonia 2.0,0.2758,mg N/L,0.295783,Wed Aug 20 19:30:59 2025,1,1
19,,Nitrate 2,0.2258,mg N/L,0.080966,Wed Aug 20 23:35:48 2025,1,1
20,,Ammonia 2.0,0.4497,mg N/L,0.366626,Wed Aug 20 19:33:00 2025,1,1
20,,Nitrate 2,0.0366,mg N/L,0.034626,Wed Aug 20 23:37:52 2025,1,1
21,,Ammonia 2.0,0.429,mg N/L,0.358208,Wed Aug 20 19:35:00 2025,1,1
21,,Nitrate 2,0.0997,mg N/L,0.050087,Wed Aug 20 23:39:55 2025,1,1
22,,Ammonia 2.0,0.3281,mg N/L,0.317111,Wed Aug 20 19:36:59 2025,1,1
22,,Nitrate 2,0.1436,mg N/L,0.060831,Wed Aug 20 23:41:59 2025,1,1
23,,Ammonia 2.0,0.426,mg N/L,0.356962,Wed Aug 20 19:38:58 2025,1,1
23,,Nitrate 2,0.0894,mg N/L,0.047554,Wed Aug 20 23:44:03 2025,1,1
24,,Ammonia 2.0,0.398,mg N/L,0.345581,Wed Aug 20 19:40:57 2025,1,1
24,,Nitrate 2,0.0932,mg N/L,0.048495,Wed Aug 20 23:46:06 2025,1,1
