Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0,0.985,mg N/L,0.507136,Wed Aug 27 18:58:29 2025,1,1
C C V,,Nitrate 2,0.8341,mg N/L,0.214763,Wed Aug 27 21:37:59 2025,1,1
C C B ,,Ammonia 2.0,0.0279,mg N/L,0.084338,Wed Aug 27 19:00:28 2025,1,1
C C B ,,Nitrate 2,0.0066,mg N/L,0.011151,Wed Aug 27 21:40:01 2025,1,1
153,,Ammonia 2.0,0.5854,mg N/L,0.330601,Wed Aug 27 19:02:27 2025,1,1
153,,Nitrate 2,0.1052,mg N/L,0.035397,Wed Aug 27 21:42:04 2025,1,1
154,,Ammonia 2.0,0.2484,mg N/L,0.181739,Wed Aug 27 19:04:25 2025,1,1
154,,Nitrate 2,0.0935,mg N/L,0.032538,Wed Aug 27 21:44:09 2025,1,1
155,,Ammonia 2.0,0.0966,mg N/L,0.114708,Wed Aug 27 19:06:24 2025,1,1
155,,Nitrate 2,0.4561,mg N/L,0.121752,Wed Aug 27 21:46:14 2025,1,1
156,,Ammonia 2.0,0.2763,mg N/L,0.194083,Wed Aug 27 19:08:25 2025,1,1
156,,Nitrate 2,0.1187,mg N/L,0.038718,Wed Aug 27 21:48:16 2025,1,1
157,,Ammonia 2.0,0.2079,mg N/L,0.163876,Wed Aug 27 19:10:25 2025,1,1
157,,Nitrate 2,0.0491,mg N/L,0.02161,Wed Aug 27 21:50:19 2025,1,1
158,,Ammonia 2.0,0.2164,mg N/L,0.167609,Wed Aug 27 19:12:24 2025,1,1
158,,Nitrate 2,0.0501,mg N/L,0.021845,Wed Aug 27 21:52:22 2025,1,1
159,,Ammonia 2.0,0.1251,mg N/L,0.127286,Wed Aug 27 19:14:24 2025,1,1
159,,Nitrate 2,0.0707,mg N/L,0.026905,Wed Aug 27 21:54:26 2025,1,1
160,,Ammonia 2.0,0.1952,mg N/L,0.158268,Wed Aug 27 19:16:23 2025,1,1
160,,Nitrate 2,0.0522,mg N/L,0.022375,Wed Aug 27 21:56:29 2025,1,1
161,,Ammonia 2.0,0.247,mg N/L,0.181135,Wed Aug 27 19:18:22 2025,1,1
161,,Nitrate 2,0.0588,mg N/L,0.023998,Wed Aug 27 21:58:32 2025,1,1
162,,Ammonia 2.0,0.2773,mg N/L,0.194542,Wed Aug 27 19:20:21 2025,1,1
162,,Nitrate 2,0.0561,mg N/L,0.023333,Wed Aug 27 22:00:35 2025,1,1
C C V,,Ammonia 2.0,0.9977,mg N/L,0.512755,Wed Aug 27 19:22:21 2025,1,1
C C V,,Nitrate 2,0.9972,mg N/L,0.254915,Wed Aug 27 22:02:39 2025,1,1
C C B ,,Ammonia 2.0,0.0152,mg N/L,0.078751,Wed Aug 27 19:24:20 2025,1,1
C C B ,,Nitrate 2,0.005,mg N/L,0.010749,Wed Aug 27 22:04:43 2025,1,1
163,,Ammonia 2.0,0.1158,mg N/L,0.123183,Wed Aug 27 19:26:20 2025,1,1
