Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Nitrate 2,1.061,mg N/L,0.261331,Thu Aug 28 22:43:43 2025,1,1
C C B ,,Nitrate 2,-0.0006,mg N/L,0.013521,Thu Aug 28 22:45:46 2025,1,1
246,,Nitrate 2,0.071,mg N/L,0.030233,Thu Aug 28 22:47:49 2025,1,1
247,,Nitrate 2,0.0954,mg N/L,0.035935,Thu Aug 28 22:49:54 2025,1,1
248,,Nitrate 2,0.4537,mg N/L,0.119573,Thu Aug 28 22:51:58 2025,1,1
249,,Nitrate 2,0.0612,mg N/L,0.027938,Thu Aug 28 22:54:01 2025,1,1
250,,Nitrate 2,0.0805,mg N/L,0.032451,Thu Aug 28 22:56:04 2025,1,1
251,,Nitrate 2,0.2461,mg N/L,0.071105,Thu Aug 28 22:58:07 2025,1,1
252,,Nitrate 2,0.1424,mg N/L,0.046899,Thu Aug 28 23:00:11 2025,1,1
253,,Nitrate 2,0.1953,mg N/L,0.059248,Thu Aug 28 23:02:14 2025,1,1
254,,Nitrate 2,0.0586,mg N/L,0.027343,Thu Aug 28 23:04:17 2025,1,1
255,,Nitrate 2,0.0842,mg N/L,0.033308,Thu Aug 28 23:06:21 2025,1,1
C C V,,Nitrate 2,1.039,mg N/L,0.256196,Thu Aug 28 23:08:24 2025,1,1
C C B ,,Nitrate 2,-0.0022,mg N/L,0.013133,Thu Aug 28 23:10:28 2025,1,1
256,,Nitrate 2,0.1016,mg N/L,0.037376,Thu Aug 28 23:12:32 2025,1,1
257,,Nitrate 2,0.081,mg N/L,0.032556,Thu Aug 28 23:14:37 2025,1,1
258,,Nitrate 2,0.0871,mg N/L,0.033986,Thu Aug 28 23:16:41 2025,1,1
259,,Nitrate 2,0.0662,mg N/L,0.029114,Thu Aug 28 23:18:45 2025,1,1
260,,Nitrate 2,0.0299,mg N/L,0.020626,Thu Aug 28 23:20:48 2025,1,1
261,,Nitrate 2,0.2059,mg N/L,0.061716,Thu Aug 28 23:22:52 2025,1,1
262,,Nitrate 2,0.0427,mg N/L,0.023633,Thu Aug 28 23:24:55 2025,1,1
263,,Nitrate 2,0.1383,mg N/L,0.045953,Thu Aug 28 23:26:59 2025,1,1
264,,Nitrate 2,0.0519,mg N/L,0.025773,Thu Aug 28 23:29:02 2025,1,1
265,,Nitrate 2,0.0811,mg N/L,0.032586,Thu Aug 28 23:31:04 2025,1,1
C C V,,Nitrate 2,1.0722,mg N/L,0.263934,Thu Aug 28 23:33:07 2025,1,1
C C B ,,Nitrate 2,-0.0017,mg N/L,0.013262,Thu Aug 28 23:35:10 2025,1,1
266,,Nitrate 2,0.056,mg N/L,0.026735,Thu Aug 28 23:37:13 2025,1,1
267,,Nitrate 2,0.0617,mg N/L,0.028071,Thu Aug 28 23:39:18 2025,1,1
268,,Nitrate 2,0.0768,mg N/L,0.031595,Thu Aug 28 23:41:23 2025,1,1
