Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0,0.9061,mg N/L,0.483694,Mon Sep 01 00:11:14 2025,1,1
C C B ,,Ammonia 2.0,-0.0634,mg N/L,0.044277,Sun Aug 31 23:22:04 2025,1,1
247,,Ammonia 2.0,0.2101,mg N/L,0.168218,Sun Aug 31 20:03:26 2025,1,1
248,,Ammonia 2.0,0.4686,mg N/L,0.285415,Sun Aug 31 20:05:25 2025,1,1
249,,Ammonia 2.0,0.7217,mg N/L,0.400099,Sun Aug 31 20:07:26 2025,1,1
250,,Ammonia 2.0,0.121,mg N/L,0.127828,Sun Aug 31 20:09:26 2025,1,1
251,,Ammonia 2.0,0.3727,mg N/L,0.241939,Sun Aug 31 20:11:25 2025,1,1
252,,Ammonia 2.0,0.1272,mg N/L,0.130642,Sun Aug 31 20:13:25 2025,1,1
253,,Ammonia 2.0,0.5078,mg N/L,0.303142,Sun Aug 31 20:15:24 2025,1,1
254,,Ammonia 2.0,0.1699,mg N/L,0.150033,Sun Aug 31 20:17:24 2025,1,1
255,,Ammonia 2.0,0.1553,mg N/L,0.143414,Sun Aug 31 20:19:23 2025,1,1
C C V,,Ammonia 2.0,0.9312,mg N/L,0.495052,Mon Sep 01 00:12:53 2025,1,1
C C B ,,Ammonia 2.0,-0.0623,mg N/L,0.044746,Sun Aug 31 23:28:06 2025,1,1
256,,Ammonia 2.0,0.2935,mg N/L,0.206025,Sun Aug 31 20:25:22 2025,1,1
257,,Ammonia 2.0,0.2677,mg N/L,0.194326,Sun Aug 31 20:27:22 2025,1,1
258,,Ammonia 2.0,0.235,mg N/L,0.179532,Sun Aug 31 20:29:21 2025,1,1
259,,Ammonia 2.0,0.3135,mg N/L,0.215107,Sun Aug 31 20:31:22 2025,1,1
260,,Ammonia 2.0,0.189,mg N/L,0.158652,Sun Aug 31 20:33:23 2025,1,1
261,,Ammonia 2.0,0.2797,mg N/L,0.199761,Sun Aug 31 20:35:22 2025,1,1
262,,Ammonia 2.0,0.251,mg N/L,0.186755,Sun Aug 31 20:37:21 2025,1,1
263,,Ammonia 2.0,0.4076,mg N/L,0.257747,Sun Aug 31 20:39:20 2025,1,1
264,,Ammonia 2.0,0.3025,mg N/L,0.210109,Sun Aug 31 20:41:19 2025,1,1
265,,Ammonia 2.0,0.3768,mg N/L,0.243804,Sun Aug 31 20:43:18 2025,1,1
C C V,,Ammonia 2.0,0.9174,mg N/L,0.488801,Mon Sep 01 00:14:32 2025,1,1
C C B ,,Ammonia 2.0,-0.0616,mg N/L,0.045084,Sun Aug 31 23:32:08 2025,1,1
266,,Ammonia 2.0,0.3252,mg N/L,0.220416,Sun Aug 31 20:49:14 2025,1,1
267,,Ammonia 2.0,0.3814,mg N/L,0.245856,Sun Aug 31 20:51:12 2025,1,1
268,,Ammonia 2.0,0.1559,mg N/L,0.143649,Sun Aug 31 20:53:11 2025,1,1
