Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
STANDARD 1,,Ammonia 2.0,0.0638,mg N/L,0.063801,Sun Aug 24 21:58:56 2025,1,1
STANDARD 1,,Nitrate 2,0.0183,mg N/L,0.018261,Mon Aug 25 00:08:30 2025,1,1
STANDARD 90,,Ammonia 2.0,0.09,mg N/L,0.089993,Sun Aug 24 22:00:57 2025,1,1
STANDARD 90,,Nitrate 2,0.0227,mg N/L,0.022719,Mon Aug 25 00:10:33 2025,1,1
STANDARD 91,,Ammonia 2.0,0.1193,mg N/L,0.119313,Sun Aug 24 22:02:56 2025,1,1
STANDARD 91,,Nitrate 2,0.0316,mg N/L,0.031598,Mon Aug 25 00:12:35 2025,1,1
STANDARD 92,,Ammonia 2.0,0.174,mg N/L,0.173963,Sun Aug 24 22:04:55 2025,1,1
STANDARD 92,,Nitrate 2,0.0676,mg N/L,0.067559,Mon Aug 25 00:14:38 2025,1,1
STANDARD 93,,Ammonia 2.0,0.2881,mg N/L,0.288105,Sun Aug 24 22:06:54 2025,1,1
STANDARD 93,,Nitrate 2,0.1488,mg N/L,0.148804,Mon Aug 25 00:16:41 2025,1,1
STANDARD 94,,Ammonia 2.0,0.517,mg N/L,0.517023,Sun Aug 24 22:08:53 2025,1,1
STANDARD 94,,Nitrate 2,0.2659,mg N/L,0.265885,Mon Aug 25 00:18:44 2025,1,1
STANDARD 95,,Ammonia 2.0,0.9152,mg N/L,0.91521,Sun Aug 24 22:10:54 2025,1,1
STANDARD 95,,Nitrate 2,0.2587,mg N/L,0.258736,Mon Aug 25 00:20:46 2025,1,1
STANDARD 0,,Ammonia 2.0,0.0649,mg N/L,0.064883,Sun Aug 24 22:12:54 2025,1,1
STANDARD 0,,Nitrate 2,0.0187,mg N/L,0.018664,Mon Aug 25 00:22:49 2025,1,1
C C V,,Ammonia 2.0,1.0538,mg N/L,0.523568,Sun Aug 24 22:14:54 2025,1,1
C C B ,,Ammonia 2.0,-0.3258,mg N/L,0.438958,Sun Aug 24 21:21:23 2025,1,1
62,,Ammonia 2.0,0.2264,mg N/L,0.638757,Sun Aug 24 21:25:21 2025,1,1
63,,Ammonia 2.0,0.4232,mg N/L,0.709951,Sun Aug 24 21:27:20 2025,1,1
64,,Ammonia 2.0,-0.0708,mg N/L,0.531204,Sun Aug 24 21:29:21 2025,1,1
65,,Ammonia 2.0,0.2415,mg N/L,0.644234,Sun Aug 24 21:31:21 2025,1,1
66,,Ammonia 2.0,0.0234,mg N/L,0.565303,Sun Aug 24 21:33:20 2025,1,1
67,,Ammonia 2.0,0.5176,mg N/L,0.296585,Sun Aug 24 22:36:26 2025,1,1
68,,Ammonia 2.0,0.7791,mg N/L,0.407279,Sun Aug 24 22:38:25 2025,1,1
69,,Ammonia 2.0,0.6045,mg N/L,0.33336,Sun Aug 24 22:40:25 2025,1,1
70,,Ammonia 2.0,0.8116,mg N/L,0.421035,Sun Aug 24 22:42:25 2025,1,1
C C V,,Ammonia 2.0,1.2264,mg N/L,0.596643,Sun Aug 24 22:44:24 2025,1,1
C C B ,,Ammonia 2.0,0.1744,mg N/L,0.1513,Sun Aug 24 22:46:24 2025,1,1
71,,Ammonia 2.0,0.8168,mg N/L,0.423238,Sun Aug 24 22:48:23 2025,1,1
72,,Ammonia 2.0,0.7576,mg N/L,0.398198,Sun Aug 24 22:50:23 2025,1,1
73,,Ammonia 2.0,0.5804,mg N/L,0.323172,Sun Aug 24 22:52:22 2025,1,1
74,,Ammonia 2.0,1.0956,mg N/L,0.54126,Sun Aug 24 22:54:23 2025,1,1
75,,Ammonia 2.0,0.5946,mg N/L,0.329195,Sun Aug 24 22:56:23 2025,1,1
61,,Ammonia 2.0,1.2221,mg N/L,0.594836,Sun Aug 24 22:58:22 2025,1,1
76,,Ammonia 2.0,0.4869,mg N/L,0.283582,Sun Aug 24 23:00:21 2025,1,1
77,,Ammonia 2.0,0.4892,mg N/L,0.28456,Sun Aug 24 23:02:20 2025,1,1
78,,Ammonia 2.0,1.1315,mg N/L,0.556479,Sun Aug 24 23:04:18 2025,1,1
79,,Ammonia 2.0,0.8776,mg N/L,0.448989,Sun Aug 24 23:06:17 2025,1,1
C C V,,Ammonia 2.0,1.2224,mg N/L,0.594934,Sun Aug 24 23:08:15 2025,1,1
C C B ,,Ammonia 2.0,0.1659,mg N/L,0.147713,Sun Aug 24 23:10:14 2025,1,1
80,,Ammonia 2.0,0.6384,mg N/L,0.347728,Sun Aug 24 23:12:12 2025,1,1
81,,Ammonia 2.0,0.8029,mg N/L,0.417359,Sun Aug 24 23:14:10 2025,1,1
82,,Ammonia 2.0,0.8093,mg N/L,0.420069,Sun Aug 24 23:16:09 2025,1,1
83,,Ammonia 2.0,1.8016,mg N/L,0.84015,Sun Aug 24 23:18:09 2025,1,1
84,,Ammonia 2.0,0.9379,mg N/L,0.474495,Sun Aug 24 23:20:10 2025,1,1
85,,Ammonia 2.0,0.569,mg N/L,0.318357,Sun Aug 24 23:22:08 2025,1,1
86,,Ammonia 2.0,0.6637,mg N/L,0.358439,Sun Aug 24 23:24:07 2025,1,1
87,,Ammonia 2.0,0.7471,mg N/L,0.393739,Sun Aug 24 23:26:05 2025,1,1
88,,Ammonia 2.0,0.6191,mg N/L,0.339563,Sun Aug 24 23:28:04 2025,1,1
89,,Ammonia 2.0,0.6999,mg N/L,0.373755,Sun Aug 24 23:30:02 2025,1,1
