Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,Ammonia 2.0,0.9633,mg N/L,0.482441,Thu Sep 04 20:25:14 2025,1,1
C C V,,Nitrate 2,0.9105,mg N/L,0.241993,Thu Sep 04 22:14:50 2025,1,1
C C B ,,Ammonia 2.0,-0.0519,mg N/L,0.049343,Thu Sep 04 20:27:13 2025,1,1
C C B ,,Nitrate 2,-0.0121,mg N/L,0.014345,Thu Sep 04 22:16:52 2025,1,1
208,,Ammonia 2.0,0.4564,mg N/L,0.266198,Thu Sep 04 20:29:12 2025,1,1
208,,Nitrate 2,0.1612,mg N/L,0.057102,Thu Sep 04 22:18:54 2025,1,1
209,,Ammonia 2.0,0.245,mg N/L,0.176013,Thu Sep 04 20:31:10 2025,1,1
209,,Nitrate 2,0.0286,mg N/L,0.024386,Thu Sep 04 22:20:59 2025,1,1
210,,Ammonia 2.0,0.4957,mg N/L,0.282961,Thu Sep 04 20:33:09 2025,1,1
210,,Nitrate 2,0.3023,mg N/L,0.09193,Thu Sep 04 22:23:03 2025,1,1
211,,Ammonia 2.0,0.9352,mg N/L,0.470427,Thu Sep 04 20:35:10 2025,1,1
211,,Nitrate 2,0.0531,mg N/L,0.030443,Thu Sep 04 22:25:05 2025,1,1
212,,Ammonia 2.0,1.1736,mg N/L,0.57216,Thu Sep 04 20:37:10 2025,1,1
212,,Nitrate 2,0.0219,mg N/L,0.022726,Thu Sep 04 22:27:07 2025,1,1
213,,Ammonia 2.0,0.8598,mg N/L,0.438277,Thu Sep 04 20:39:09 2025,1,1
213,,Nitrate 2,0.0447,mg N/L,0.028355,Thu Sep 04 22:29:10 2025,1,1
214,,Ammonia 2.0,1.5436,mg N/L,0.729999,Thu Sep 04 20:41:08 2025,1,1
214,,Nitrate 2,0.0551,mg N/L,0.03094,Thu Sep 04 22:31:12 2025,1,1
215,,Ammonia 2.0,0.3794,mg N/L,0.233336,Thu Sep 04 20:43:08 2025,1,1
215,,Nitrate 2,0.0261,mg N/L,0.023778,Thu Sep 04 22:33:14 2025,1,1
216,,Ammonia 2.0,0.364,mg N/L,0.226744,Thu Sep 04 20:45:07 2025,1,1
216,,Nitrate 2,0.1587,mg N/L,0.056494,Thu Sep 04 22:35:16 2025,1,1
217,,Ammonia 2.0,0.1794,mg N/L,0.148002,Thu Sep 04 20:47:06 2025,1,1
217,,Nitrate 2,0.0531,mg N/L,0.030443,Thu Sep 04 22:37:19 2025,1,1
C C V,,Ammonia 2.0,0.9569,mg N/L,0.479681,Thu Sep 04 20:49:06 2025,1,1
C C V,,Nitrate 2,1.1073,mg N/L,0.290571,Thu Sep 04 22:39:21 2025,1,1
C C B ,,Ammonia 2.0,-0.0543,mg N/L,0.048313,Thu Sep 04 20:51:05 2025,1,1
C C B ,,Nitrate 2,-0.0014,mg N/L,0.016994,Thu Sep 04 22:41:24 2025,1,1
218,,Ammonia 2.0,17.7463,mg N/L,0.912668,Fri Sep 05 07:43:08 2025,1,9
218,,Nitrate 2,0.0563,mg N/L,0.031227,Thu Sep 04 22:43:26 2025,1,1
219,,Ammonia 2.0,0.5699,mg N/L,0.314602,Thu Sep 04 20:55:04 2025,1,1
219,,Nitrate 2,0.0351,mg N/L,0.025993,Thu Sep 04 22:45:31 2025,1,1
220,,Ammonia 2.0,0.3837,mg N/L,0.235152,Thu Sep 04 20:57:03 2025,1,1
220,,Nitrate 2,0.0724,mg N/L,0.035198,Thu Sep 04 22:47:35 2025,1,1
221,,Ammonia 2.0,0.0668,mg N/L,0.099962,Thu Sep 04 20:59:04 2025,1,1
221,,Nitrate 2,0.0297,mg N/L,0.024653,Thu Sep 04 22:49:37 2025,1,1
222,,Ammonia 2.0,1.6228,mg N/L,0.763779,Thu Sep 04 21:01:04 2025,1,1
222,,Nitrate 2,0.0367,mg N/L,0.026396,Thu Sep 04 22:51:40 2025,1,1
223,,Ammonia 2.0,0.5743,mg N/L,0.31647,Thu Sep 04 21:03:04 2025,1,1
223,,Nitrate 2,1.4835,mg N/L,0.383402,Thu Sep 04 22:53:43 2025,1,1
224,,Ammonia 2.0,0.3357,mg N/L,0.214693,Thu Sep 04 21:07:01 2025,1,1
224,,Nitrate 2,0.0759,mg N/L,0.036051,Thu Sep 04 22:57:48 2025,1,1
225,,Ammonia 2.0,0.6238,mg N/L,0.337577,Thu Sep 04 21:09:00 2025,1,1
225,,Nitrate 2,0.0684,mg N/L,0.034209,Thu Sep 04 22:59:51 2025,1,1
226,,Ammonia 2.0,0.4472,mg N/L,0.262257,Thu Sep 04 21:10:59 2025,1,1
226,,Nitrate 2,0.0435,mg N/L,0.02807,Thu Sep 04 23:01:54 2025,1,1
C C V,,Ammonia 2.0,0.9725,mg N/L,0.486335,Thu Sep 04 21:12:57 2025,1,1
C C V,,Nitrate 2,1.0982,mg N/L,0.288329,Thu Sep 04 23:03:57 2025,1,1
C C B ,,Ammonia 2.0,-0.0535,mg N/L,0.048662,Thu Sep 04 21:14:56 2025,1,1
