Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,bray-p 1,0.4705,mgP/L,0.156405,Wed Jul 09 23:05:10 2025,1,1
C C B ,,bray-p 1,0.0022,mgP/L,0.00454,Wed Jul 09 23:06:30 2025,1,1
57,,bray-p 1,0.1462,mgP/L,0.051237,Wed Jul 09 23:09:07 2025,1,1
58,,bray-p 1,0.1385,mgP/L,0.048731,Wed Jul 09 23:10:24 2025,1,1
59,,bray-p 1,0.1385,mgP/L,0.048753,Wed Jul 09 23:11:42 2025,1,1
60,,bray-p 1,0.1366,mgP/L,0.048138,Wed Jul 09 23:13:00 2025,1,1
61,,bray-p 1,0.7622,mgP/L,0.251018,Wed Jul 09 23:14:19 2025,1,1
62,,bray-p 1,0.1381,mgP/L,0.048605,Wed Jul 09 23:15:37 2025,1,1
63,,bray-p 1,0.5381,mgP/L,0.178337,Wed Jul 09 23:16:55 2025,1,1
64,,bray-p 1,-0.0053,mgP/L,0.002095,Wed Jul 09 23:18:13 2025,1,1
65,,bray-p 1,0.343,mgP/L,0.115059,Wed Jul 09 23:19:31 2025,1,1
C C V,,bray-p 1,0.4948,mgP/L,0.1643,Wed Jul 09 23:20:49 2025,1,1
C C B ,,bray-p 1,0.0023,mgP/L,0.004559,Wed Jul 09 23:22:10 2025,1,1
66,,bray-p 1,0.8977,mgP/L,0.294949,Wed Jul 09 23:23:29 2025,1,1
67,,bray-p 1,0.1584,mgP/L,0.055212,Wed Jul 09 23:24:46 2025,1,1
68,,bray-p 1,0.9724,mgP/L,0.319179,Wed Jul 09 23:26:04 2025,1,1
69,,bray-p 1,1.0846,mgP/L,0.121067,Thu Jul 10 00:48:49 2025,1,3
70,,bray-p 1,0.4699,mgP/L,0.156215,Wed Jul 09 23:28:39 2025,1,1
71,,bray-p 1,-0.0044,mgP/L,0.002415,Wed Jul 09 23:29:56 2025,1,1
72,,bray-p 1,1.053,mgP/L,0.117655,Thu Jul 10 00:49:42 2025,1,3
73,,bray-p 1,0.4196,mgP/L,0.139894,Wed Jul 09 23:32:30 2025,1,1
74,,bray-p 1,0.2638,mgP/L,0.089393,Wed Jul 09 23:33:46 2025,1,1
75,,bray-p 1,0.1483,mgP/L,0.051918,Wed Jul 09 23:35:04 2025,1,1
C C V,,bray-p 1,0.4788,mgP/L,0.159115,Wed Jul 09 23:36:21 2025,1,1
C C B ,,bray-p 1,0.0017,mgP/L,0.004369,Wed Jul 09 23:37:41 2025,1,1
76,,bray-p 1,0.2082,mgP/L,0.071349,Wed Jul 09 23:39:01 2025,1,1
77,,bray-p 1,0.3337,mgP/L,0.112039,Wed Jul 09 23:40:18 2025,1,1
78,,bray-p 1,0.1361,mgP/L,0.047955,Wed Jul 09 23:41:34 2025,1,1
79,,bray-p 1,0.271,mgP/L,0.091705,Wed Jul 09 23:42:51 2025,1,1
80,,bray-p 1,0.2673,mgP/L,0.090513,Wed Jul 09 23:44:08 2025,1,1
56,,bray-p 1,-0.0046,mgP/L,0.002334,Wed Jul 09 23:45:25 2025,1,1
81,,bray-p 1,0.1428,mgP/L,0.050126,Wed Jul 09 23:46:42 2025,1,1
82,,bray-p 1,0.1319,mgP/L,0.046594,Wed Jul 09 23:47:59 2025,1,1
83,,bray-p 1,0.2693,mgP/L,0.09117,Wed Jul 09 23:49:15 2025,1,1
84,,bray-p 1,0.1414,mgP/L,0.049679,Wed Jul 09 23:50:32 2025,1,1
C C V,,bray-p 1,0.4877,mgP/L,0.161988,Wed Jul 09 23:51:49 2025,1,1
C C B ,,bray-p 1,0.0024,mgP/L,0.004609,Wed Jul 09 23:53:10 2025,1,1
85,,bray-p 1,0.5327,mgP/L,0.176574,Wed Jul 09 23:54:29 2025,1,1
86,,bray-p 1,0.3057,mgP/L,0.102975,Wed Jul 09 23:55:46 2025,1,1
87,,bray-p 1,0.1366,mgP/L,0.048125,Wed Jul 09 23:57:03 2025,1,1
88,,bray-p 1,0.2593,mgP/L,0.087929,Wed Jul 09 23:58:20 2025,1,1
89,,bray-p 1,0.3933,mgP/L,0.131378,Wed Jul 09 23:59:38 2025,1,1
90,,bray-p 1,0.4262,mgP/L,0.142044,Thu Jul 10 00:00:55 2025,1,1
91,,bray-p 1,0.277,mgP/L,0.093643,Thu Jul 10 00:02:13 2025,1,1
92,,bray-p 1,0.3874,mgP/L,0.129453,Thu Jul 10 00:03:31 2025,1,1
93,,bray-p 1,0.1719,mgP/L,0.059584,Thu Jul 10 00:04:48 2025,1,1
94,,bray-p 1,0.2494,mgP/L,0.084717,Thu Jul 10 00:06:06 2025,1,1
C C V,,bray-p 1,0.4871,mgP/L,0.161805,Thu Jul 10 00:07:24 2025,1,1
C C B ,,bray-p 1,0.0025,mgP/L,0.004627,Thu Jul 10 00:08:45 2025,1,1
95,,bray-p 1,0.279,mgP/L,0.094309,Thu Jul 10 00:10:04 2025,1,1
96,,bray-p 1,0.4944,mgP/L,0.164148,Thu Jul 10 00:11:22 2025,1,1
97,,bray-p 1,0.1369,mgP/L,0.048223,Thu Jul 10 00:12:40 2025,1,1
98,,bray-p 1,0.2874,mgP/L,0.097029,Thu Jul 10 00:13:58 2025,1,1
99,,bray-p 1,0.263,mgP/L,0.089117,Thu Jul 10 00:15:15 2025,1,1
100,,bray-p 1,0.343,mgP/L,0.115069,Thu Jul 10 00:16:33 2025,1,1
101,,bray-p 1,0.3896,mgP/L,0.130162,Thu Jul 10 00:17:51 2025,1,1
102,,bray-p 1,0.2824,mgP/L,0.095423,Thu Jul 10 00:19:08 2025,1,1
103,,bray-p 1,0.4031,mgP/L,0.134561,Thu Jul 10 00:20:29 2025,1,1
104,,bray-p 1,0.2764,mgP/L,0.093454,Thu Jul 10 00:21:48 2025,1,1
C C V,,bray-p 1,0.4715,mgP/L,0.156743,Thu Jul 10 00:22:45 2025,1,1
C C B ,,bray-p 1,0.0024,mgP/L,0.004591,Thu Jul 10 00:23:47 2025,1,1
105,,bray-p 1,0.3126,mgP/L,0.105205,Thu Jul 10 00:24:41 2025,1,1
106,,bray-p 1,0.5444,mgP/L,0.18039,Thu Jul 10 00:25:34 2025,1,1
107,,bray-p 1,0.3583,mgP/L,0.120012,Thu Jul 10 00:26:27 2025,1,1
108,,bray-p 1,0.8605,mgP/L,0.282888,Thu Jul 10 00:27:21 2025,1,1
109,,bray-p 1,0.1655,mgP/L,0.057499,Thu Jul 10 00:28:14 2025,1,1
110,,bray-p 1,0.959,mgP/L,0.314843,Thu Jul 10 00:29:07 2025,1,1
56,,bray-p 1,-0.0049,mgP/L,0.002253,Thu Jul 10 00:30:00 2025,1,1
C C V,,bray-p 1,0.4798,mgP/L,0.159436,Thu Jul 10 00:30:53 2025,1,1
C C B ,,bray-p 1,0.0022,mgP/L,0.004546,Thu Jul 10 00:31:47 2025,1,1
CCV,,bray-p 1,0.4732,mgP/L,0.157274,Thu Jul 10 00:47:01 2025,1,1
CCB,,bray-p 1,0.0021,mgP/L,0.00451,Thu Jul 10 00:47:55 2025,1,1
CCV,,bray-p 1,0.4836,mgP/L,0.160666,Thu Jul 10 00:50:35 2025,1,1
CCB,,bray-p 1,0.0023,mgP/L,0.004563,Thu Jul 10 00:51:29 2025,1,1
