Sample ID,Sample Details,Test Name,Result,Units,Absorbance,Time,Manual Dil,Auto Dil
C C V,,bray-p 1,0.5235,mgP/L,0.16697,Thu Jul 10 22:31:34 2025,1,1
C C B ,,bray-p 1,-0.0013,mgP/L,0.004467,Thu Jul 10 22:32:55 2025,1,1
251,,bray-p 1,0.2086,mgP/L,0.069446,Thu Jul 10 22:34:14 2025,1,1
252,,bray-p 1,0.1972,mgP/L,0.065926,Thu Jul 10 22:35:31 2025,1,1
253,,bray-p 1,1.95,mgP/L,0.206123,Fri Jul 11 00:01:56 2025,1,3
254,,bray-p 1,0.2954,mgP/L,0.096345,Thu Jul 10 22:38:07 2025,1,1
255,,bray-p 1,0.2393,mgP/L,0.078976,Thu Jul 10 22:39:25 2025,1,1
256,,bray-p 1,0.2966,mgP/L,0.096705,Thu Jul 10 22:40:43 2025,1,1
257,,bray-p 1,0.2434,mgP/L,0.080232,Thu Jul 10 22:42:01 2025,1,1
258,,bray-p 1,0.2096,mgP/L,0.069757,Thu Jul 10 22:43:19 2025,1,1
259,,bray-p 1,0.3793,mgP/L,0.122326,Thu Jul 10 22:44:37 2025,1,1
260,,bray-p 1,0.1976,mgP/L,0.066042,Thu Jul 10 22:45:56 2025,1,1
C C V,,bray-p 1,0.5372,mgP/L,0.171209,Thu Jul 10 22:47:13 2025,1,1
C C B ,,bray-p 1,-0.0001,mgP/L,0.004831,Thu Jul 10 22:48:34 2025,1,1
261,,bray-p 1,0.1799,mgP/L,0.06058,Thu Jul 10 22:49:53 2025,1,1
262,,bray-p 1,0.1845,mgP/L,0.062,Thu Jul 10 22:51:11 2025,1,1
263,,bray-p 1,0.2544,mgP/L,0.083638,Thu Jul 10 22:52:28 2025,1,1
264,,bray-p 1,0.1242,mgP/L,0.04331,Thu Jul 10 22:53:46 2025,1,1
265,,bray-p 1,0.2086,mgP/L,0.069463,Thu Jul 10 22:55:03 2025,1,1
266,,bray-p 1,0.1877,mgP/L,0.063,Thu Jul 10 22:56:20 2025,1,1
267,,bray-p 1,0.1485,mgP/L,0.050857,Thu Jul 10 22:57:37 2025,1,1
268,,bray-p 1,0.2281,mgP/L,0.075502,Thu Jul 10 22:58:54 2025,1,1
269,,bray-p 1,0.2072,mgP/L,0.069029,Thu Jul 10 23:00:11 2025,1,1
270,,bray-p 1,0.1856,mgP/L,0.062331,Thu Jul 10 23:01:28 2025,1,1
C C V,,bray-p 1,0.5271,mgP/L,0.168062,Thu Jul 10 23:02:45 2025,1,1
C C B ,,bray-p 1,0.0017,mgP/L,0.005384,Thu Jul 10 23:04:06 2025,1,1
271,,bray-p 1,0.1721,mgP/L,0.058153,Thu Jul 10 23:05:25 2025,1,1
272,,bray-p 1,0.2698,mgP/L,0.0884,Thu Jul 10 23:06:42 2025,1,1
