speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType ,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample  ,ternPrimaryGeneticBarcodeAdditionalSample  ,plantMaterialTypeAdditionalSample  ,latitudeAdditionalSample  ,longitudeOfAdditionalSample  ,dateSurveyedAdditionalSample  ,facilityYear
Cyperus_alterniflorus,Cyperus,alterniflorus,Cyperaceae,NA,C3,NA,C3,"Besnard et al., 2009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_oxycalyptra,Trianthema,oxycalyptra,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_rhynchocalyptra,Trianthema,rhynchocalyptra,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_rhynchocalyptrum,Trianthema,rhynchocalyptrum,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trianthema_turgidifolia,Trianthema,turgidifolia,Aizoaceae,NA,C4,NA,C4,"Bohley et al., 2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carex_inversa,Carex,inversa,Cyperaceae,NA,C3,NA,C3,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysitrix_distigmatosa,Chrysitrix,distigmatosa,Cyperaceae,NA,U,C3,C3,"Bruhl & Wilson, 2007",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_astartodes,Cyperus,astartodes,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_blakeanus,Cyperus,blakeanus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyperus_carinatus,Cyperus,carinatus,Cyperaceae,NA,C4,NA,C4,"Bruhl & Wilson, 2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
